05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Time (min)	Weight (mg)	Deriv. Weight (%/°C)	Relative Mass (%)	Temperature (°C)	Balance Purge Flow (mL/min)	Sample Purge Flow (mL/min)
0.9541666	6.573837	0.06541245	99.60570375735244	29.14029	39.98783	60.02424
0.9625	6.57308	0.0656023	99.59423381708098	29.2231	40.02654	59.98842
0.9708334	6.572694	0.066034	99.58838520817109	29.30784	39.9716	59.99434
0.9791668	6.572843	0.0663228	99.59064283181765	29.39148	39.9852	59.99897
0.9875	6.573087	0.06663894	99.59433987993685	29.47564	40.01181	60.01672
0.9958332	6.572778	0.06675898	99.58965796244162	29.56015	40.00269	59.99524
1.004167	6.571897	0.06714257	99.57630919443746	29.64304	40.01735	59.98796
1.0125	6.57107	0.06752216	99.56377862560721	29.72848	39.99756	60.00976
1.020833	6.57057	0.06783855	99.55620270733017	29.81184	39.97769	60.00956
1.029167	6.57036	0.06811444	99.55302082165379	29.89376	39.9576	59.98006
1.0375	6.57035	0.06824731	99.55286930328826	29.9781	40.052	60.02097
1.045834	6.570316	0.06840026	99.55235414084542	30.0612	40.00463	59.9857
1.054167	6.56987	0.0686875	99.54559642174229	30.14772	40.00712	59.99382
1.0625	6.568886	0.06916768	99.53068701457303	30.23162	40.00221	60.00552
1.070833	6.567969	0.06938589	99.51679278045292	30.3116	40.00969	59.99137
1.079166	6.567636	0.06953116	99.5117472188804	30.39606	39.97341	60.01602
1.0875	6.56772	0.06968662	99.51301997315095	30.47965	40.00746	60.00756
1.095833	6.567697	0.06987855	99.51267148091021	30.56499	40.01617	59.96543
1.104166	6.56743	0.07029682	99.50862594055026	30.65039	39.98059	60.03503
1.1125	6.566858	0.07055551	99.49995909004132	30.73046	40.02198	60.01169
1.120833	6.566036	0.07073725	99.48750428039384	30.81443	39.98938	59.96422
1.129167	6.565198	0.07093859	99.47480704136147	30.89814	39.98505	59.99668
1.1375	6.564884	0.07108782	99.4700493646835	30.9825	40.01712	60.00472
1.145834	6.565088	0.07131757	99.47314033934053	31.06712	40.00519	60.00191
1.154167	6.565161	0.07157282	99.47424642340899	31.14984	39.9912	60.01591
1.1625	6.564722	0.07190722	99.46759476716173	31.23289	39.98944	59.99741
1.170834	6.563968	0.07209572	99.45617028239994	31.3154	40.0073	59.99508
1.179167	6.563287	0.0722285	99.44585188170659	31.39854	39.98464	60.01526
1.1875	6.562702	0.07235724	99.43698805732242	31.48072	40.01744	59.9886
1.195833	6.5624	0.07255425	99.4324122026831	31.5648	40.00588	60.0067
1.204166	6.562442	0.0727807	99.43304857981836	31.64939	39.97131	59.96895
1.2125	6.56241	0.07296075	99.43256372104862	31.72992	40.03927	60.03118
1.220833	6.561789	0.0731105	99.42315443054854	31.81445	39.99459	59.97808
1.229166	6.560822	0.07324445	99.40850260460071	31.89673	39.99318	60.01693
1.2375	6.560058	0.07335692	99.39692660147337	31.97961	39.99515	59.9882
1.245833	6.559701	0.0734797	99.39151739582354	32.06518	39.98825	59.9917
1.254167	6.559553	0.07367537	99.38927492401355	32.14542	40.01653	60.0068
1.2625	6.559452	0.07389312	99.38774458852158	32.22785	39.98558	59.99404
1.270834	6.559284	0.074046	99.3851990799805	32.31238	40.00153	60.01259
1.279167	6.55869	0.07412901	99.37619888906735	32.39536	40.0047	60.00611
1.2875	6.557776	0.07421943	99.36235011045689	32.47737	40.00778	59.97906
1.295834	6.557051	0.07434045	99.35136502895517	32.55761	39.98365	60.0293
1.304167	6.556888	0.07447962	99.34889527959683	32.64062	40.0131	59.9714
1.3125	6.556974	0.07463575	99.3501983375405	32.7225	40.01271	59.98811
1.320833	6.556763	0.07481048	99.34700130002759	32.809	39.99874	60.03619
1.329166	6.556366	0.07493518	99.3409860209156	32.8895	39.98336	59.9985
1.3375	6.555714	0.0749844	99.33110702348232	32.96944	40.00414	59.98232
1.345833	6.554906	0.07503724	99.3188643395466	33.0511	39.99712	60.00078
1.354166	6.554261	0.07515903	99.30909140496921	33.13354	40.02884	60.0269
1.3625	6.554032	0.075315	99.3056216343983	33.21648	39.9577	59.99864
1.370833	6.554095	0.0754545	99.30657620010123	33.30148	40.01926	59.96429
1.379167	6.553911	0.07557311	99.30378826217526	33.38228	39.98102	60.03984
1.3875	6.553281	0.07564132	99.29424260514618	33.46237	40.00206	59.98274
1.395834	6.5525	0.07565622	99.28240902079743	33.543	40.00172	60.01356
1.404167	6.55187	0.07566118	99.27286336376832	33.62703	40.0193	59.96563
1.4125	6.55147	0.07573681	99.2668026291467	33.70686	39.99398	60.0192
1.420834	6.55127	0.07587068	99.26377226183585	33.78886	39.98656	59.97331
1.429167	6.551215	0.0759957	99.26293891082538	33.87246	40.01084	60.02162
1.4375	6.55094	0.07606161	99.258772155773	33.95226	39.99536	59.99804
1.445833	6.55027	0.07608014	99.24862042528176	34.03276	39.98956	60.01182
1.454166	6.549428	0.07607412	99.2358625789032	34.11496	40.00631	60.01492
1.4625	6.54889	0.07606934	99.22771089083709	34.19464	39.99721	59.98593
1.470833	6.548662	0.07611585	99.22425627210275	34.27805	39.99594	59.99957
1.479166	6.54852	0.07621026	99.22210471131207	34.35969	40.02078	59.96828
1.4875	6.548332	0.0762947	99.2192561660399	34.44072	39.97542	60.00693
1.495833	6.547963	0.07631931	99.21366513835143	34.52234	40.03111	60.01476
1.504167	6.54726	0.07628794	99.20301339725388	34.60279	39.98006	59.98066
1.5125	6.54643	0.07625266	99.19043737291398	34.68484	39.99874	60.03422
1.520834	6.545957	0.07624155	99.18327055422388	34.76466	40.01424	59.98699
1.529167	6.545877	0.07626104	99.18205840729955	34.84742	39.99313	59.98374
1.5375	6.54582	0.07630792	99.18119475261598	34.92488	40.01207	60.00038
1.545834	6.54552	0.07635689	99.17664920164974	35.00874	39.98709	60.0057
1.554167	6.544951	0.07635486	99.16802780665044	35.08716	39.99594	60.00502
1.5625	6.54428	0.07630768	99.15786092432263	35.16715	40.0012	60.0191
1.570833	6.543542	0.07625408	99.14667886894571	35.24976	39.98942	59.99003
1.579166	6.543093	0.07624324	99.13987569433291	35.33025	40.00996	59.98562
1.5875	6.542982	0.07627212	99.13819384047542	35.41156	40.00098	60.00528
1.595833	6.542914	0.07630935	99.13716351558972	35.49044	40.01365	60.00195
1.604166	6.542605	0.07632221	99.13248159809451	35.57176	39.98815	60.00976
1.6125	6.54201	0.07629412	99.12346625534482	35.6532	40.02387	59.98358
1.620833	6.54132	0.07622772	99.11301148812248	35.73393	39.97087	60.01534
1.629167	6.540735	0.07616743	99.10414766373833	35.81554	40.00606	60.00312
1.6375	6.540421	0.0760954	99.09938998706033	35.89491	39.99986	59.99878
1.645834	6.540225	0.07611182	99.09642022709573	35.97634	39.99966	59.9969
1.654167	6.540055	0.07616464	99.09384441488153	36.05418	39.98306	59.99283
1.6625	6.539543	0.07617929	99.08608667456583	36.13624	40.04034	59.99581
1.670834	6.538791	0.07611876	99.07469249347713	36.21565	39.98296	60.0056
1.679166	6.538129	0.07601294	99.06466197767831	36.2981	40.00246	60.01426
1.6875	6.537705	0.07591843	99.05823759897939	36.37711	39.99941	59.98899
1.695834	6.537546	0.07585554	99.05582845696728	36.45796	40.00464	60.00229
1.704166	6.537398	0.07583422	99.05358598515726	36.53555	39.98984	59.96838
1.7125	6.537116	0.07583432	99.04931316724901	36.6156	39.99172	60.01266
1.720833	6.536621	0.07580462	99.04181300815473	36.6989	40.00406	60.00965
1.729166	6.535924	0.07571284	99.0312521780765	36.77908	40.01141	59.99898
1.7375	6.5353	0.07558768	99.02179743206675	36.85895	39.99404	59.99864
1.745833	6.534995	0.0754907	99.01717612191774	36.93588	39.98655	60.01582
1.754167	6.534943	0.07544939	99.01638822641694	37.01891	40.00355	59.98332
1.7625	6.534776	0.07544082	99.0138578697124	37.09865	39.99248	60.03871
1.770834	6.534306	0.07542489	99.00673650653196	37.17783	40.03661	59.95978
1.779167	6.533719	0.07537162	98.9978423784747	37.259	39.98819	60.02957
1.7875	6.53312	0.07527241	98.9887664283788	37.3395	39.99134	59.9648
1.795834	6.53255	0.07514781	98.98012988154295	37.42144	39.99375	60.03063
1.804166	6.53228	0.07504907	98.97603888567333	37.49883	40.02039	59.97628
1.8125	6.532197	0.07499747	98.97478128323934	37.5786	39.97276	60.02129
1.820834	6.532058	0.07498126	98.97267517795832	37.66028	40.0081	60.00243
1.829166	6.531556	0.07494161	98.96506895600817	37.74141	40.02316	59.99038
1.8375	6.530868	0.07485084	98.95464449245893	37.81866	39.96853	59.99132
1.845833	6.530313	0.07472631	98.9462352231714	37.9001	39.99436	59.98784
1.854166	6.529894	0.07460309	98.93988660365522	37.9788	40.00878	60.02208
1.8625	6.52962	0.0745102	98.93573500043942	38.05786	40.0172	59.98484
1.870833	6.529464	0.0744533	98.93337131393697	38.14118	39.99822	59.98324
1.879167	6.529219	0.07440835	98.92965911398122	38.21882	39.96881	60.00871
1.8875	6.528726	0.07439751	98.92218925856004	38.29997	40.00826	60.02582
1.895834	6.52804	0.07430663	98.91179509868392	38.37949	40.01816	59.9836
