08/02/2023 12:57:15
User name: Mateus
Comments: 
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1072.0	2142.153	0.2333	96.72471	108.5	162.0	159.0
1073.0	2144.153	0.2333	96.72471	108.75	162.0	160.0
1077.0	2152.153	0.2333	96.72471	109.0	162.0	160.0
1078.0	2154.153	0.2333	96.72471	109.25	162.0	160.0
1081.0	2160.153	0.2333	96.72471	109.5	162.0	161.0
1083.0	2164.153	0.2332	96.68325	109.75	162.0	161.0
1085.0	2168.153	0.2331	96.64179	110.0	162.0	162.0
1088.0	2174.153	0.2331	96.64179	110.25	163.0	162.0
1089.0	2176.153	0.2331	96.64179	110.5	163.0	162.0
1090.0	2178.153	0.233	96.60033	110.75	163.0	162.0
1091.0	2180.153	0.233	96.60033	111.0	163.0	163.0
1092.0	2182.153	0.233	96.60033	111.25	164.0	163.0
1093.0	2184.153	0.233	96.60033	111.5	164.0	163.0
1094.0	2186.153	0.233	96.60033	111.75	164.0	163.0
1095.0	2188.153	0.233	96.60033	112.0	164.0	163.0
1097.0	2192.153	0.233	96.60033	112.25	166.0	164.0
1098.0	2194.153	0.2331	96.64179	112.5	166.0	164.0
1099.0	2196.153	0.233	96.60033	112.75	167.0	164.0
1101.0	2200.153	0.233	96.60033	113.0	167.0	164.0
1102.0	2202.153	0.233	96.60033	113.25	167.0	164.0
1103.0	2204.153	0.2331	96.64179	113.5	167.0	165.0
1105.0	2208.153	0.2332	96.68325	113.75	167.0	165.0
1106.0	2210.153	0.2331	96.64179	114.0	167.0	165.0
1109.0	2216.153	0.2329	96.55887	114.25	168.0	166.0
1111.0	2220.153	0.2329	96.55887	114.5	168.0	166.0
1113.0	2224.153	0.2329	96.55887	114.75	168.0	166.0
1115.0	2228.153	0.2329	96.55887	115.0	168.0	167.0
1118.0	2234.153	0.2328	96.51741	115.25	168.0	167.0
1120.0	2238.153	0.2327	96.47595	115.5	168.0	167.0
1122.0	2242.153	0.2326	96.43449	115.75	168.0	168.0
1124.0	2246.153	0.2326	96.43449	116.0	168.0	168.0
1125.0	2248.153	0.2326	96.43449	116.25	169.0	168.0
1126.0	2250.153	0.2326	96.43449	116.5	169.0	168.0
1127.0	2252.153	0.2326	96.43449	116.75	169.0	169.0
1129.0	2256.153	0.2326	96.43449	117.0	171.0	169.0
1130.0	2258.153	0.2326	96.43449	117.25	171.0	169.0
1131.0	2260.153	0.2326	96.43449	117.75	172.0	169.0
1133.0	2264.153	0.2326	96.43449	118.0	172.0	170.0
1135.0	2268.153	0.2326	96.43449	118.25	172.0	170.0
1136.0	2270.153	0.2325	96.39303	118.5	173.0	170.0
1137.0	2272.153	0.2325	96.39303	118.75	173.0	170.0
1139.0	2276.153	0.2325	96.39303	119.0	173.0	171.0
1142.0	2282.153	0.2325	96.39303	119.25	173.0	171.0
1143.0	2284.153	0.2325	96.39303	119.5	173.0	171.0
1145.0	2288.153	0.2324	96.35158	119.75	173.0	172.0
1148.0	2294.153	0.2323	96.31012	120.0	173.0	172.0
1150.0	2298.153	0.2322	96.26866	120.25	173.0	172.0
1152.0	2302.153	0.2321	96.2272	120.5	173.0	173.0
1153.0	2304.153	0.2321	96.2272	120.75	174.0	173.0
1155.0	2308.153	0.2321	96.2272	121.0	174.0	173.0
1157.0	2312.153	0.2321	96.2272	121.25	175.0	174.0
1158.0	2314.153	0.2321	96.2272	121.5	175.0	174.0
